first_name,last_name,email,password,phone_number,department
Mollie,Mcknight,mcknight_mollie449@google.org,3166655,09846578515,Customer Service
Keaton,Wallace,wallacekeaton1301@google.com,7515475,09481134081,Tech Support
Veronica,Sullivan,v.sullivan@icloud.org,6308585,09331877778,Legal Department
Kyla,Merritt,merrittkyla@yahoo.org,1671164,09236914737,Finances
Clayton,Moore,moore.clayton5315@icloud.org,2877644,09434628523,Advertising
Rhona,Schroeder,s_rhona@google.org,5293050,09301121741,Customer Relations
Alika,Dickerson,dalika@icloud.com,8247279,09291782748,Finances
Gabriel,Harrington,gharrington2985@icloud.org,8287325,09324670538,Media Relations
Reed,Banks,rbanks@yahoo.org,1503069,09188525392,Asset Management
Bianca,Travis,biancatravis8947@google.org,3172821,09474639143,Customer Relations
Dale,Foreman,dale_foreman2298@yahoo.org,7481181,09613263410,Research and Development
Eric,Gamble,egamble@icloud.com,2566859,09630725271,Finances
Shaine,Parker,sparker3812@google.org,1349914,09461590212,Quality Assurance
Keelie,Hebert,khebert@google.com,2654685,09239595812,Tech Support
Armando,Elliott,elliottarmando9480@icloud.com,5592313,09832105251,Sales and Marketing
Katell,Love,klove1713@google.com,2827222,09935459575,Sales and Marketing
Isabella,Gonzales,g_isabella3861@google.com,5401823,09872674374,Accounting
Omar,Booker,o_booker4696@icloud.com,1568343,09181123577,Quality Assurance
Maggie,Cooke,mcooke@yahoo.com,6255646,09456812781,Legal Department
Zeph,Moore,zeph_moore@google.org,5532182,09543932175,Sales and Marketing
Iliana,Moody,i_moody@icloud.com,7314672,09376267296,Sales and Marketing
Benedict,Briggs,briggs_benedict@icloud.org,8369987,09683678832,Quality Assurance
Geoffrey,Rocha,g_rocha5629@yahoo.com,1222138,09364433658,Payroll
Kirby,Hardy,hardy_kirby@google.org,211150,09576244481,Asset Management
Allistair,Freeman,allistairfreeman@google.com,2757557,09702363697,Accounting
Laurel,Buchanan,lbuchanan@icloud.com,1673389,09155570637,Payroll
Florence,Day,fday6442@icloud.org,1619711,09384629048,Payroll
Lucas,Daniels,daniels_lucas@google.org,5184176,09656554533,Public Relations
Pascale,Petty,petty.pascale@google.org,9308213,09564413923,Sales and Marketing
Piper,Rosa,p_rosa3521@icloud.com,6498454,09590175748,Payroll
Lacy,Hanson,lhanson@google.com,5450279,09531038465,Customer Service
Rhonda,Baker,baker.rhonda4289@icloud.com,8247773,09451872628,Research and Development
Francesca,Edwards,e_francesca@icloud.org,2679604,09347986050,Quality Assurance
Geraldine,Page,gpage@yahoo.org,4472860,09512986124,Quality Assurance
Anna,Makumba,annmakumba02@google.com,3347567,09112194114,Research and Development
Whoopi,Garner,garnerwhoopi@google.com,4184796,09568098218,Accounting
Alyssa,Dorsey,dorsey.alyssa8192@google.org,8180464,09204675471,Public Relations
Howard,Finch,hfinch@google.com,6545142,09173105572,Payroll
Leila,Stark,sleila@yahoo.org,6706863,09468226763,Legal Department
Tatum,Yang,y.tatum7039@icloud.com,6248961,09812544271,Advertising
Teegan,Cain,cain_teegan@icloud.com,2589095,09953345347,Asset Management
Samuel,Bowman,bowman_samuel@icloud.com,7777021,09713064786,Sales and Marketing
Chastity,Calhoun,chastity.calhoun874@yahoo.com,2738876,09831339911,Sales and Marketing
Philip,Duffy,duffyphilip7446@icloud.com,4352211,09588868571,Quality Assurance
Carl,Olson,olsoncarl@google.org,3416103,09880213154,Customer Relations
Cynthia,Decker,cdecker@icloud.org,5333442,09318281541,Media Relations
Piper,Mclean,piper_mclean7570@icloud.org,2143377,09774375874,Asset Management
Justine,Chapman,j.chapman@icloud.org,2117036,09846771325,Public Relations
Kato,Humphrey,hkato@google.org,3704973,09336778278,Sales and Marketing
Kylynn,Skinner,skinner.kylynn@yahoo.org,7134954,09453663973,Accounting
Beverly,Santana,santana.beverly@yahoo.com,2181726,09836533174,Media Relations
Cora,King,k.cora@google.org,5645525,09211661836,Tech Support
Halee,Shaffer,h.shaffer3789@google.com,2846511,09233735177,Asset Management
Jane,Rivera,rivera.jane@yahoo.com,8316882,09164265162,Media Relations
Yardley,Gilliam,y_gilliam8402@yahoo.com,9404875,09532848351,Customer Relations
Ezra,Mueller,m.ezra4030@yahoo.org,8929596,09312853975,Quality Assurance
Nigel,Ross,r_nigel1344@google.com,4042627,09441182283,Customer Service
Charles,Stanley,stanleycharles@google.com,1138937,09422062826,Administration
Simon,Atkins,atkinssimon@icloud.org,668726,09104654286,Administration
Vance,Rosa,rosa_vance@yahoo.org,5862967,09117763072,Administration
