first_name,last_name,email,password,phone_number,department
Mollie,Mcknight,mcknight_mollie449@google.org,3166655,0984-657-8515,Customer Service
Keaton,Wallace,wallacekeaton1301@google.com,7515475,0948-113-4081,Tech Support
Veronica,Sullivan,v.sullivan@icloud.org,6308585,0933-187-7778,Legal Department
Kyla,Merritt,merrittkyla@yahoo.org,1671164,0923-691-4737,Finances
Clayton,Moore,moore.clayton5315@icloud.org,2877644,0943-462-8523,Advertising
Rhona,Schroeder,s_rhona@google.org,5293050,0930-112-1741,Customer Relations
Alika,Dickerson,dalika@icloud.com,8247279,0929-178-2748,Finances
Gabriel,Harrington,g-harrington2985@icloud.org,8287325,0932-467-0538,Media Relations
Reed,Banks,r-banks@yahoo.org,1503069,0918-852-5392,Asset Management
Bianca,Travis,biancatravis8947@google.org,3172821,0947-463-9143,Customer Relations
Dale,Foreman,dale_foreman2298@yahoo.org,7481181,0961-326-3410,Research and Development
Eric,Gamble,e-gamble@icloud.com,2566859,0963-072-5271,Finances
Shaine,Parker,s-parker3812@google.org,1349914,0946-159-0212,Quality Assurance
Keelie,Hebert,khebert@google.com,2654685,0923-959-5812,Tech Support
Armando,Elliott,elliott-armando9480@icloud.com,5592313,0983-210-5251,Sales and Marketing
Katell,Love,k-love1713@google.com,2827222,0993-545-9575,Sales and Marketing
Isabella,Gonzales,g_isabella3861@google.com,5401823,0987-267-4374,Accounting
Omar,Booker,o_booker4696@icloud.com,1568343,0918-112-3577,Quality Assurance
Maggie,Cooke,m-cooke@yahoo.com,6255646,0945-681-2781,Legal Department
Zeph,Moore,zeph_moore@google.org,5532182,0954-393-2175,Sales and Marketing
Iliana,Moody,i_moody@icloud.com,7314672,0937-626-7296,Sales and Marketing
Benedict,Briggs,briggs_benedict@icloud.org,8369987,0968-367-8832,Quality Assurance
Geoffrey,Rocha,g_rocha5629@yahoo.com,1222138,0936-443-3658,Payroll
Kirby,Hardy,hardy_kirby@google.org,211150,0957-624-4481,Asset Management
Allistair,Freeman,allistair-freeman@google.com,2757557,0970-236-3697,Accounting
Laurel,Buchanan,lbuchanan@icloud.com,1673389,0915-557-0637,Payroll
Florence,Day,f-day6442@icloud.org,1619711,0938-462-9048,Payroll
Lucas,Daniels,daniels_lucas@google.org,5184176,0965-655-4533,Public Relations
Pascale,Petty,petty.pascale@google.org,9308213,0956-441-3923,Sales and Marketing
Piper,Rosa,p_rosa3521@icloud.com,6498454,0959-017-5748,Payroll
Lacy,Hanson,l-hanson@google.com,5450279,0953-103-8465,Customer Service
Rhonda,Baker,baker.rhonda4289@icloud.com,8247773,0945-187-2628,Research and Development
Francesca,Edwards,e_francesca@icloud.org,2679604,0934-798-6050,Quality Assurance
Geraldine,Page,gpage@yahoo.org,4472860,0951-298-6124,Quality Assurance
Anna,Makumba,annmakumba02@google.com,3347567,0911-219-4114,Research and Development
Whoopi,Garner,garnerwhoopi@google.com,4184796,0956-809-8218,Accounting
Alyssa,Dorsey,dorsey.alyssa8192@google.org,8180464,0920-467-5471,Public Relations
Howard,Finch,h-finch@google.com,6545142,0917-310-5572,Payroll
Leila,Stark,s-leila@yahoo.org,6706863,0946-822-6763,Legal Department
Tatum,Yang,y.tatum7039@icloud.com,6248961,0981-254-4271,Advertising
Teegan,Cain,cain_teegan@icloud.com,2589095,0995-334-5347,Asset Management
Samuel,Bowman,bowman_samuel@icloud.com,7777021,0971-306-4786,Sales and Marketing
Chastity,Calhoun,chastity.calhoun874@yahoo.com,2738876,0983-133-9911,Sales and Marketing
Philip,Duffy,duffy-philip7446@icloud.com,4352211,0958-886-8571,Quality Assurance
Carl,Olson,olson-carl@google.org,3416103,0988-021-3154,Customer Relations
Cynthia,Decker,c-decker@icloud.org,5333442,0931-828-1541,Media Relations
Piper,Mclean,piper_mclean7570@icloud.org,2143377,0977-437-5874,Asset Management
Justine,Chapman,j.chapman@icloud.org,2117036,0984-677-1325,Public Relations
Kato,Humphrey,h-kato@google.org,3704973,0933-677-8278,Sales and Marketing
Kylynn,Skinner,skinner.kylynn@yahoo.org,7134954,0945-366-3973,Accounting
Beverly,Santana,santana.beverly@yahoo.com,2181726,0983-653-3174,Media Relations
Cora,King,k.cora@google.org,5645525,0921-166-1836,Tech Support
Halee,Shaffer,h.shaffer3789@google.com,2846511,0923-373-5177,Asset Management
Jane,Rivera,rivera.jane@yahoo.com,8316882,0916-426-5162,Media Relations
Yardley,Gilliam,y_gilliam8402@yahoo.com,9404875,0953-284-8351,Customer Relations
Ezra,Mueller,m.ezra4030@yahoo.org,8929596,0931-285-3975,Quality Assurance
Nigel,Ross,r_nigel1344@google.com,4042627,0944-118-2283,Customer Service
Charles,Stanley,stanleycharles@google.com,1138937,0942-206-2826,Finances
Simon,Atkins,atkins-simon@icloud.org,668726,0910-465-4286,Sales and Marketing
Vance,Rosa,rosa_vance@yahoo.org,5862967,0911-776-3072,Customer Service
